x_Br,z_Ge,composition,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_per_Sn,tolerance_factor,S_gap_single,S_hull,S_ox,S_strain,Score_single,Score_tandem,Rank_single,Rank_tandem,P_top1_single,P_top5_single,P_top10_single,P_top20_single,mean_rank_single,P_top1_tandem,P_top5_tandem,P_top10_tandem,P_top20_tandem,mean_rank_tandem,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.9,0.05,CsSn0.95Ge0.05(I0.10Br0.90)3,1.74705,0.01078612,-1.3523370000000001,0.8697312120021707,0.025172745717161438,0.6979991923351963,0.26445769070660863,0.9935776337953725,0.26066689526301934,0.6464160449059558,169,123,0.0,0.0,0.0,0.0,175.5683,0.0,0.0,0.0,0.0008,136.6066,0.0,0.0,172.4868
0.95,0.05,CsSn0.95Ge0.05(I0.05Br0.95)3,1.77645,0.01076251,-1.3549485000000001,0.8703547918615052,0.014507637333634948,0.698548733915812,0.26308002908322903,0.9936767174498944,0.22687236530365937,0.632820993811988,179,131,0.0,0.0,0.0,0.0,184.9736,0.0,0.0,0.0,0.0013,143.5497,0.0,0.0,182.595
1.0,0.05,CsSn0.95Ge0.05(I0.00Br1.00)3,1.8065,0.010738900000000001,-1.35756,0.870983172335635,0.007938348681301393,0.6990987081558807,0.2617095442280631,0.9937757920819107,0.19491450584984252,0.6131202179904572,189,145,0.0,0.0,0.0,0.0,194.186,0.0,0.0,0.0,0.0005,153.0626,0.0,0.0,192.5774
0.0,0.1,CsSn0.90Ge0.10I3,1.348,0.0106222,-1.23666,0.8650661670887898,0.9985787886565143,0.7018234984116722,0.3332974314895889,0.9928122007120631,0.6939486393722865,0.3487648633318138,31,224,0.0038,0.0761,0.2081,0.5424,47.0822,0.0,0.0,0.0,0.0,218.9763,0.0,0.1644,32.9556
0.05,0.1,CsSn0.90Ge0.10(I0.95Br0.05)3,1.3665749999999999,0.01059998,-1.2391330000000003,0.8656365891865409,0.984428495422177,0.7023435082360283,0.33165301239413686,0.9929080820984063,0.6907671645002383,0.3739427880453707,33,220,0.0,0.0569,0.1914,0.5547,47.3712,0.0,0.0,0.0,0.0,214.7226,0.0,0.0732,34.5514
0.1,0.1,CsSn0.90Ge0.10(I0.90Br0.10)3,1.3858,0.010577760000000002,-1.2416060000000002,0.8662111460261662,0.954455534311337,0.702863903356998,0.33001670651500764,0.9930040145946243,0.6847443660856293,0.40031253535678885,35,215,0.0,0.0094,0.1586,0.5203,49.1038,0.0,0.0,0.0,0.0,209.583,0.0,0.0164,37.1748
0.15,0.1,CsSn0.90Ge0.10(I0.85Br0.15)3,1.405675,0.010555539999999999,-1.2440790000000002,0.8667898827276138,0.9086011918731369,0.7033846840600637,0.3283884738233063,0.9930999915152912,0.6756733243732446,0.42769473762850996,40,210,0.0,0.0,0.0693,0.4729,52.3761,0.0,0.0,0.0,0.0,203.5499,0.0,0.0,40.7882
0.2,0.1,CsSn0.90Ge0.10(I0.80Br0.20)3,1.4262000000000001,0.01053332,-1.246552,0.8673728450697169,0.8477912093554946,0.7039058506309188,0.32676827448763207,0.9931960059696927,0.6633910122495709,0.45585035117757045,46,204,0.0,0.0,0.0021,0.4008,56.9635,0.0,0.0,0.0,0.0,196.6571,0.0,0.0,46.3648
0.25,0.1,CsSn0.90Ge0.10(I0.75Br0.25)3,1.447375,0.0105111,-1.249025,0.8679600795022657,0.7739804372709519,0.7044274033554687,0.3251560688731039,0.9932920508560827,0.6477892886943086,0.4844748262150294,53,195,0.0,0.0,0.0,0.2027,62.7628,0.0,0.0,0.0,0.0,188.9541,0.0,0.0,54.159
0.3,0.1,CsSn0.90Ge0.10(I0.70Br0.30)3,1.4691999999999998,0.01048888,-1.251498,0.8685516331583458,0.6900801314789191,0.7049493425198304,0.3235518175403908,0.9933881188557696,0.6288253766978826,0.5131938236254582,64,188,0.0,0.0,0.0,0.0106,69.7933,0.0,0.0,0.0,0.0,180.4758,0.0,0.0,63.3482
