x_Br,z_Ge,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_Sn,t,SJ_score,Tandem_score,pareto_single,pareto_tandem
0.5,0.0,1.5075,0.01155,-1.4015000000000002,0.8589395256131067,0.5426593206557999,0.5161935132873651,False,False
0.5,0.05,1.53525,0.010974999,-1.3314446000000002,0.8649089894976767,0.5341304086369469,0.5677266313745737,False,False
0.5,0.1,1.563,0.010399997999999999,-1.2613892000000002,0.8709620073090911,0.5212488441683709,0.6190756978071433,False,False
0.5,0.15,1.59075,0.009824997,-1.1913338000000002,0.8771003456534779,0.5043364644488302,0.6693075252626579,False,False
0.5,0.2,1.6185,0.009249996,-1.1212784,0.8833258212929741,0.48380770718443744,0.7174387144368766,False,False
0.5,0.25,1.64625,0.008674995,-1.0512230000000002,0.8896403029384361,0.46015274260235167,0.7624664316924454,False,False
0.5,0.3,1.6740000000000002,0.008099994,-0.9811676000000001,0.896045713119593,0.4339180568439459,0.8034023983399379,False,False
0.5,0.35,1.70175,0.007524993,-0.9111122000000003,0.9025440301365762,0.405685558396702,0.8393085287879779,False,False
0.5,0.4,1.7295,0.0069499919999999995,-0.8410568000000002,0.9091372900969896,0.3760513173890717,0.8693324484535769,False,False
0.5,0.45,1.7572500000000002,0.006374990999999999,-0.7710014000000002,0.9158275890429199,0.3456050105724328,0.8927410265991556,False,False
0.5,0.5,1.785,0.00579999,-0.7009460000000002,0.9226170851725628,0.3149110393216478,0.9089500880982249,True,True
0.55,0.0,1.530825,0.011525,-1.4042500000000002,0.8595004840284758,0.5174472399969998,0.5403448615641098,False,False
0.55,0.05,1.55945,0.0109513879,-1.3340557100000003,0.8654960694851926,0.5046181499677964,0.590873531953559,False,False
0.55,0.1,1.5880750000000001,0.0103777758,-1.2638614200000002,0.8715758888930657,0.4876400015501625,0.6402619771383057,False,False
0.55,0.15,1.6166999999999998,0.0098041637,-1.1936671300000004,0.8777417299558212,0.46695511825458474,0.6874802807123378,False,False
0.55,0.2,1.6453250000000001,0.009230551600000001,-1.1234728400000003,0.8839954313250441,0.44308800784771163,0.7314789281052665,False,False
0.55,0.25,1.67395,0.0086569395,-1.0532785500000001,0.890338884428158,0.4166233038345555,0.7712267781631392,False,False
0.55,0.3,1.702575,0.008083327400000001,-0.9830842600000003,0.8967740353756792,0.3881820768111726,0.8057507888190164,False,False
0.55,0.35,1.7311999999999999,0.0075097153000000015,-0.9128899700000003,0.9033028869517844,0.3583978485155848,0.83417538837169,False,False
0.55,0.4,1.759825,0.006936103200000001,-0.8426956800000002,0.9099275006924672,0.3278935864564805,0.8557592821989549,False,False
0.55,0.45,1.78845,0.006362491100000001,-0.7725013900000002,0.9166499990558165,0.29726081604871163,0.8699275409819573,False,False
0.55,0.5,1.817075,0.005788879,-0.7023071000000003,0.9234725676892125,0.2670417767082238,0.8762970338791461,True,True
0.6,0.0,1.5548000000000002,0.0115,-1.407,0.8600656028276424,0.4896737713870404,0.5628084822815412,False,False
0.6,0.05,1.5843,0.0109277768,-1.33666682,0.8660875340750741,0.4728105822572432,0.611487704579958,False,False
0.6,0.1,1.6138000000000001,0.0103555536,-1.26633364,0.8721943875745067,0.45212831777614737,0.6579744023919321,False,False
0.6,0.15,1.6433000000000002,0.0097833304,-1.19600046,0.8783879724633898,0.42818366399828744,0.7011713018594826,False,False
0.6,0.2,1.6728000000000003,0.0092111072,-1.12566728,0.8846701496345363,0.40159844355343555,0.7400018548551258,False,False
0.6,0.25,1.7023000000000001,0.008638884,-1.0553341,0.8910428336002084,0.3730329125780467,0.7734543518620045,False,False
0.6,0.3,1.7318,0.0080666608,-0.9850009200000001,0.8975079944373593,0.3431587928620289,0.8006254966565103,False,False
0.6,0.35,1.7613,0.007494437600000001,-0.9146677400000001,0.9040676598181747,0.3126335574741584,0.8207608384114656,False,False
