application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
single-junction,0.95,0.3,0.0,0.0,215.8358
single-junction,1.0,0.3,0.0,0.0,221.6141
single-junction,0.0,0.35,1.0,0.1184,4.7696
single-junction,0.05,0.35,1.0,0.0011,8.5971
single-junction,0.1,0.35,0.989,0.0004,15.1291
single-junction,0.15,0.35,0.5201,0.0,25.293
single-junction,0.2,0.35,0.0292,0.0,39.5084
single-junction,0.25,0.35,0.0,0.0,56.4649
single-junction,0.3,0.35,0.0,0.0,73.6037
single-junction,0.35,0.35,0.0,0.0,89.3717
single-junction,0.4,0.35,0.0,0.0,103.5423
single-junction,0.45,0.35,0.0,0.0,116.6265
single-junction,0.5,0.35,0.0,0.0,129.0515
single-junction,0.55,0.35,0.0,0.0,141.1637
single-junction,0.6,0.35,0.0,0.0,153.0393
single-junction,0.65,0.35,0.0,0.0,164.7319
single-junction,0.7,0.35,0.0,0.0,176.2218
single-junction,0.75,0.35,0.0,0.0,187.2722
single-junction,0.8,0.35,0.0,0.0,197.5023
single-junction,0.85,0.35,0.0,0.0,206.5268
single-junction,0.9,0.35,0.0,0.0,214.1244
single-junction,0.95,0.35,0.0,0.0,220.2954
single-junction,1.0,0.35,0.0,0.0,225.16
single-junction,0.0,0.4,0.9999,0.1405,3.2206
single-junction,0.05,0.4,1.0,0.0,7.678
single-junction,0.1,0.4,0.9575,0.0,15.2228
single-junction,0.15,0.4,0.449,0.0,26.893
single-junction,0.2,0.4,0.0347,0.0,42.9446
single-junction,0.25,0.4,0.0002,0.0,61.6093
single-junction,0.3,0.4,0.0,0.0,79.7907
single-junction,0.35,0.4,0.0,0.0,95.866
single-junction,0.4,0.4,0.0,0.0,110.1458
single-junction,0.45,0.4,0.0,0.0,123.3891
single-junction,0.5,0.4,0.0,0.0,136.0731
single-junction,0.55,0.4,0.0,0.0,148.4346
single-junction,0.6,0.4,0.0,0.0,160.5279
single-junction,0.65,0.4,0.0,0.0,172.3685
single-junction,0.7,0.4,0.0,0.0,183.7747
single-junction,0.75,0.4,0.0,0.0,194.4346
single-junction,0.8,0.4,0.0,0.0,203.9709
single-junction,0.85,0.4,0.0,0.0,212.1021
