x_Br,z_Ge,composition,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.25,0.25,CsSn0.75Ge0.25(I0.75Br0.25)3,0.0,0.0,49.8512
0.3,0.25,CsSn0.75Ge0.25(I0.70Br0.30)3,0.0,0.0,65.1662
0.35,0.25,CsSn0.75Ge0.25(I0.65Br0.35)3,0.0,0.0,79.7288
0.4,0.25,CsSn0.75Ge0.25(I0.60Br0.40)3,0.0,0.0,92.6878
0.45,0.25,CsSn0.75Ge0.25(I0.55Br0.45)3,0.0,0.0,104.6138
0.5,0.25,CsSn0.75Ge0.25(I0.50Br0.50)3,0.0,0.0,116.1272
0.55,0.25,CsSn0.75Ge0.25(I0.45Br0.55)3,0.0,0.0,127.4364
0.6,0.25,CsSn0.75Ge0.25(I0.40Br0.60)3,0.0,0.0,138.66
0.65,0.25,CsSn0.75Ge0.25(I0.35Br0.65)3,0.0,0.0,149.7774
0.7,0.25,CsSn0.75Ge0.25(I0.30Br0.70)3,0.0,0.0,160.9076
0.75,0.25,CsSn0.75Ge0.25(I0.25Br0.75)3,0.0,0.0,171.976
0.8,0.25,CsSn0.75Ge0.25(I0.20Br0.80)3,0.0,0.0,182.8824
0.85,0.25,CsSn0.75Ge0.25(I0.15Br0.85)3,0.0,0.0,193.2744
0.9,0.25,CsSn0.75Ge0.25(I0.10Br0.90)3,0.0,0.0,202.6158
0.95,0.25,CsSn0.75Ge0.25(I0.05Br0.95)3,0.0,0.0,210.6124
1.0,0.25,CsSn0.75Ge0.25(I0.00Br1.00)3,0.0,0.0,217.3158
0.0,0.3,CsSn0.70Ge0.30I3,0.0062,1.0,7.124
0.05,0.3,CsSn0.70Ge0.30(I0.95Br0.05)3,0.0,1.0,10.8146
0.1,0.3,CsSn0.70Ge0.30(I0.90Br0.10)3,0.0,1.0,16.6032
0.15,0.3,CsSn0.70Ge0.30(I0.85Br0.15)3,0.0,0.4756,25.0562
0.2,0.3,CsSn0.70Ge0.30(I0.80Br0.20)3,0.0,0.0,36.8976
0.25,0.3,CsSn0.70Ge0.30(I0.75Br0.25)3,0.0,0.0,52.3336
0.3,0.3,CsSn0.70Ge0.30(I0.70Br0.30)3,0.0,0.0,69.1784
0.35,0.3,CsSn0.70Ge0.30(I0.65Br0.35)3,0.0,0.0,84.4842
0.4,0.3,CsSn0.70Ge0.30(I0.60Br0.40)3,0.0,0.0,97.965
0.45,0.3,CsSn0.70Ge0.30(I0.55Br0.45)3,0.0,0.0,110.4222
0.5,0.3,CsSn0.70Ge0.30(I0.50Br0.50)3,0.0,0.0,122.3878
0.55,0.3,CsSn0.70Ge0.30(I0.45Br0.55)3,0.0,0.0,134.1276
0.6,0.3,CsSn0.70Ge0.30(I0.40Br0.60)3,0.0,0.0,145.6822
0.65,0.3,CsSn0.70Ge0.30(I0.35Br0.65)3,0.0,0.0,157.1388
0.7,0.3,CsSn0.70Ge0.30(I0.30Br0.70)3,0.0,0.0,168.514
0.75,0.3,CsSn0.70Ge0.30(I0.25Br0.75)3,0.0,0.0,179.7142
0.8,0.3,CsSn0.70Ge0.30(I0.20Br0.80)3,0.0,0.0,190.4528
0.85,0.3,CsSn0.70Ge0.30(I0.15Br0.85)3,0.0,0.0,200.257
0.9,0.3,CsSn0.70Ge0.30(I0.10Br0.90)3,0.0,0.0,208.728
0.95,0.3,CsSn0.70Ge0.30(I0.05Br0.95)3,0.0,0.0,215.822
1.0,0.3,CsSn0.70Ge0.30(I0.00Br1.00)3,0.0,0.0,221.6284
0.0,0.35,CsSn0.65Ge0.35I3,0.0504,1.0,4.5262
0.05,0.35,CsSn0.65Ge0.35(I0.95Br0.05)3,0.0,1.0,8.5618
0.1,0.35,CsSn0.65Ge0.35(I0.90Br0.10)3,0.0,0.9984,15.193
0.15,0.35,CsSn0.65Ge0.35(I0.85Br0.15)3,0.0,0.5868,25.0488
0.2,0.35,CsSn0.65Ge0.35(I0.80Br0.20)3,0.0,0.0004,38.9232
0.25,0.35,CsSn0.65Ge0.35(I0.75Br0.25)3,0.0,0.0,56.397
0.3,0.35,CsSn0.65Ge0.35(I0.70Br0.30)3,0.0,0.0,74.284
0.35,0.35,CsSn0.65Ge0.35(I0.65Br0.35)3,0.0,0.0,90.0372
0.4,0.35,CsSn0.65Ge0.35(I0.60Br0.40)3,0.0,0.0,103.8746
0.45,0.35,CsSn0.65Ge0.35(I0.55Br0.45)3,0.0,0.0,116.7136
0.5,0.35,CsSn0.65Ge0.35(I0.50Br0.50)3,0.0,0.0,129.0842
0.55,0.35,CsSn0.65Ge0.35(I0.45Br0.55)3,0.0,0.0,141.1416
0.6,0.35,CsSn0.65Ge0.35(I0.40Br0.60)3,0.0,0.0,152.9952
0.65,0.35,CsSn0.65Ge0.35(I0.35Br0.65)3,0.0,0.0,164.6998
0.7,0.35,CsSn0.65Ge0.35(I0.30Br0.70)3,0.0,0.0,176.201
0.75,0.35,CsSn0.65Ge0.35(I0.25Br0.75)3,0.0,0.0,187.284
0.8,0.35,CsSn0.65Ge0.35(I0.20Br0.80)3,0.0,0.0,197.5344
0.85,0.35,CsSn0.65Ge0.35(I0.15Br0.85)3,0.0,0.0,206.549
0.9,0.35,CsSn0.65Ge0.35(I0.10Br0.90)3,0.0,0.0,214.119
0.95,0.35,CsSn0.65Ge0.35(I0.05Br0.95)3,0.0,0.0,220.2848
1.0,0.35,CsSn0.65Ge0.35(I0.00Br1.00)3,0.0,0.0,225.1648
0.0,0.4,CsSn0.60Ge0.40I3,0.1176,1.0,2.8582
0.05,0.4,CsSn0.60Ge0.40(I0.95Br0.05)3,0.0,1.0,7.3652
0.1,0.4,CsSn0.60Ge0.40(I0.90Br0.10)3,0.0,0.9764,14.979
0.15,0.4,CsSn0.60Ge0.40(I0.85Br0.15)3,0.0,0.4942,26.4904
